"会员","级别","评价星级","评价内容","时间","点赞数","评论数","追评时间","追评内容","页面网址","页面标题","采集时间"
"惯***痞","京享值5153","star5","还是一如既往对京东好评 很满意 今天下单 第二天就送到 而且服务人员态度非常好 只是对美的很不满意！！！送来的电热水器遥控器 竟然是坏的 电池也是没电的 不过安装师傅很好 最后给我找了一个新的遥控器和电池安装上了 希望美的送货钱请检查一下这种配件是否好坏 电池有无电 最后还是想说美的安装师傅非常的好 因为家里只需要拆卸原来的热水器 零件什么的都没有换 师傅只收了30元的拆卸让热水器的钱 真的给师傅好评！希望美的售后能给我解释一下为什么遥控器是坏的 电池也是没电的 不然我真的就要投诉了 虽然只是一件零件 但是细节绝对成败啊 ！！！","2017-12-10 15:01","2","1",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:32.7149762"
"温州谢先生","PLUS会员","star5","老师按装是快的，装修中。没试。希望是正常的！","2017-09-23 11:03","11","2",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:32.7479982"
"苹***0","京享值6632","star5","卖家服务态度好，打了好多个电话，中午下单，安装工人晚上来安装的，安装工人态度好，用什么件都说的很清楚，售后真的没话说，好评。","2018-01-17 19:38","1","0","[购买1天后追评]",,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:32.7820210"
"j***o","京享值4818","star5","货已收到，外包装完好，等明天师傅来按装，","2017-11-04 17:42","11","0","[购买7天后追评]",,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:32.8200449"
"儿***膏","京享值6153","star5","刚安装好，安装费有点贵呀，用了再来追加评论吧","2017-10-28 15:04","15","9",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:32.8740807"
"寻***痴","京享值7299","star5","老品牌，质量可靠，发货也快，由于接的低，所以安装是免费，师傅也很用心，使用起来很方便，大赞","2018-03-09 00:55","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:32.9141080"
"你***啥","京享值17582","star5","热水器不错，值这个价钱。我是工具控，各种工具齐全，所以自己安装的，买管子和管件花了22.5块钱","2017-11-05 21:38","30","10",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:36.0327523"
"诺***苏","京享值2854","star5","自己做的，材料在80多点，加热好像慢了点，还没开始用！","2017-12-20 13:47","3","0","[购买2天后追评]","怎么没见图？","https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:36.0627724"
"j***5","京享值4189","star5","京东真快呀！一天就收到货了！再这说一声送货师傅一路了辛苦了！！","2017-12-13 15:07","2","0","[购买2天后追评]",,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:36.0977976"
"j***b","京享值13529","star5","2号收到货联系售后安装，3号下午安装师傅过来 由于家里还没装修好 正好最近水库也没水，就告知安装师傅先给安装 等有水了再用，安装师傅说可以先安装 等水压大了再通电用，安装师傅专业 态度好。","2018-01-03 21:22","0","1",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:36.1298190"
"j***d","京享值3307","star5","美的产品值得信赖啊，刚刚装好试过了很好用！赞赞！","2018-02-07 22:39","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:36.1618395"
"竹***星","京享值3797","star5","很不错哦！双十一买的~已经安装上了很满意哦~","2017-11-25 19:38","1","3","[购买14天后追评]",,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:36.1958616"
"小***1","PLUS会员","star5","历史最低价谁买谁合适哈哈  非常好aq","2017-11-16 16:52","21","7",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:36.2308865"
"j***b","京享值10458","star5","美的的商品一直值得信赖，物流安装超级棒","2018-02-02 11:04","0","0","[购买2天后追评]",,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:36.2659099"
"1***6","PLUS会员","star5","原先使用的万和热水器，这一过春节就罢工退休了??赶紧上京东搜索热水器，看着销量最高的美的热水器?也就是买下来的这款，美的品牌响亮的，可信赖度极高，今天售后安装好了，安装帅哥特别帅?说话随和特别好，极力给赞?当天购买隔天送，速度快，快递小哥服务也特别棒！在京东不记得买多少电器了，在京东购物有保障！Good！","2018-02-22 20:18","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:36.3019343"
"飞***5","京享值2472","star5","很好很漂亮，现在正加热不知道效果怎么样。反正很满意，喜欢??","2017-10-25 17:21","5","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:36.3409582"
"一***6","PLUS会员","star5","二级能耗的，加热倒是很快，启动到水温45度也就20分钟多一点，家里6个人，估计要2小时才能冲完，一个人洗澡15分钟，温度就不太热了，要等15分钟才能洗第二个人，样式可以，挺大。毕竟60L的水在里面，用了两天，一直开着，温度调到45度，跌到40度时会自启动加热！","2017-12-06 20:12","6","1",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:39.3113484"
"神***爪","京享值8824","star5","这是在京东下的第三个美的热水器了，不知道美的啥想法，还有京东商城，也不表示一下！","2017-11-10 20:43","1","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:39.3403675"
"熊***-","京享值1827","star5","美的大品牌值得信赖，物流也很快，热水器家人特别满意。","2018-01-20 17:12","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:39.3703882"
"z***8","京享值8751","star5","东西还不错，热水出的快","2018-01-14 17:25","0","1",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:39.4004076"
"关***氓","PLUS会员","star5","双十一价格美丽，送货安装一条龙服务。**不是盖的。电话提前预约，送货安装时间根据客户要求可控，这点很好。安装师傅很专业，安装速度也很快，当天送货，当天安装，当天使用。哈哈哈。","2017-11-15 10:03","3","7",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:39.4314280"
"z***n","京享值10768","star5","安装的非常好","2018-02-02 18:14","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:39.4754575"
"j***踏","京享值16070","star5","家里还在装修，热水器实际还未开始使用，京东很负责，热水器未到就打过好几个电话，安装师傅也一大早就来安装了，一根水管80，两根160，还好家里有很多水管（我一女孩子不知道要哪种，安装师傅去找说没有，还好我家装修的水电工都在，帮忙找出来的）接头15块一个，要4个，其实我家有好几包，但要找出来费时间，为了不耽误安装师傅的时间，我还是决定买了，讲真有点浪费的）热水器很好很高大上，安装师傅严格按照规定，守时守规矩，点个赞，还剩个小厨宝没有安装，先准备两根软管吧，希望后期使用没有问题，相信美的相信京东","2018-01-18 20:08","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:39.5094811"
"j***6","京享值16928","star5","昨天下单就接到美的公司电话，咨询家里是否有地线，是否是承重墙体，是否方便明天收货，感觉好贴心，京东美的服务真棒，购物一直信任京东，电器一直信赖美的，物美价廉质优。上午收到货师傅下午就过来安装了，迅速啊?，身着美的工衣的安装师傅还把卫生打扫干净哦！给好评！！！安装结束师傅教如何使用，后续有问题可随时咨询呢！迫不及待试使，热水温度适宜，外观高大上，真心满意的一次网购。","2017-12-02 20:45","2","1",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:39.5435026"
"SandyCCCheng","京享值10570","star5","美的热水器，名副其实的大品牌。售后客服服务也很到位。因为是提前在双12抢的电器，预备新房子安装用的。因为收货地址和安装地址不同，打电话预约安装也很顺利。安装师傅都很专业，服务态度也很好，主动联系客户。安装过程也很顺利，作业效率杠杠的。选择美的，就是省心。","2017-12-23 19:12","1","2",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:39.5795276"
"石***研","PLUS会员","star5","不错，京东值得信赖！！没毛病！！","2018-02-09 19:41","0","0","[购买5天后追评]",,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:39.6195543"
"K***s","京享值5588","star5","双十一买的美的热水器今天刚装好，质量又好，又经济又实惠，一直很看好京东。希望京东能多搞一些对百姓有利的活动。???","2017-11-19 11:21","2","7",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:42.9954903"
"j***w","京享值1394","star5","东西不怎么样 虽然便宜 我的买回来就各种毛病，先是加热时呜呜响 视频里就能听到 现在加热以后 保温的指示灯也有问题 售后说还得等配件生产 第一次京东购物 没想到就这么倒霉","2017-11-07 14:27","8","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:43.0225096"
"路***5","京享值1600","star5","本来是包安装的，但安装工人来了之后就说我家买的是两年前就下架了的，现在店里有*的特别好，建议我换，我说太麻烦，不换了，他说不麻烦，一个电话的事，还说我家这个说跑电，你信吗，我说那也不换了，你就安吧，，他打了个眼就说我家墙有钢筋，打不了，还说要打折钻头得我花钱买，打坏棚也不管，没办法我只好不安了，让他走了，然后我又找人安的，什么问题都没有，一会儿就安好了，看图吧！","2018-01-15 12:22","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:43.0525299"
"j***t","京享值10433","star5","买回来老家用的，还不错，好像调不到60度，物流很棒下单时说5号送货，4号快递哥就送到了，第二天安装师傅过来安装好了，就是装的时候插头还差一点不够插到插座上，搞了一根电线接上，有点难看！总体说在京东买电器还不错???","2018-02-14 11:22","0","0","[购买19天后追评]",,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:43.0955584"
"m***u","京享值8988","star5","非常满意，特别是京东物流是超级快的，承诺11点给送到，提前5分钟就到达了，送货小哥真给力，安装的也很及时，预约后很快就赶过来了，介绍说质保8年随便用，感觉真是物超所值，在京东买东西体验非常好。值得推荐购买！","2018-01-10 19:33","1","0","[购买41天后追评]",,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:43.1265794"
"j***s","京享值16284","star5","前天下单买的今天就用上了，目前没有发现问题，比街上卖的便宜很多，店家都说和网上比他家贵很多，我当老板面直接在网上比的?","2017-10-05 18:37","12","2",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:43.1616028"
"K***5","京享值7537","star5","家里太阳能冬天不给力，买个电热的冬天使用，安装花了210，三角阀是自己的，还行吧。希望可以耐用哦。","2018-01-26 14:24","5","4",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:43.1946228"
"特***手","PLUS会员","star5","美的名牌，性价比高，额烧水，速度快，安装人员服务态度好，那么经过，美的微信三次预约拨打400，售后电话，催安装，坚决不投诉，美的人员还是在晚上9点钟，冒着雨，冒着寒冷过来安装，这让我很感动","2018-01-31 08:13","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:43.2306474"
"j***b","京享值2392","star5","热水器美观大方，上档次。","2018-02-08 12:48","0","0","[购买11天后追评]",,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:43.2656720"
"M***i","京享值10641","star5","真的挺好的，上门安装的郭师傅帮着怎么省钱怎么给安装的，自己一个人住，洗澡总是不方便就自己安装了一个，以后洗澡什么的就方便多了，美的的品牌也值得信赖，信得过，希望可以和自己想的那么完美！","2018-02-05 15:05","3","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:43.3056988"
"H***6","PLUS会员","star5","在京东选择美的热水器，纯属两三年前在京东买美的空调后，其来了3个年轻安装师傅的服务周到：态度很谦和，进屋穿鞋套；自带遮布罩床；安装完还硬要打扫屋子。整得我都不好意思了，一个劲让他们别扫了，但坚持说是规定……有这样的培训和执行力，敬佩了！包括安装师傅的职业精神！热水器刚安好！老的奥克司坏了（真好！用了18年，可惜不出了），着急洗澡，买的。元旦假期，送货、安装都挺负责，满意。唯有一点发货时没发膨胀螺栓，店铺发货时操作不规范不细致，应该注意。幸好安装师傅在自己带的东西里翻了半天找到2颗，膨胀螺栓家里很多，但这是带弯钩，家里没有。另外遥控没带电池。好在我安的低，不会用遥控的。产品有无问题，以后再说。总之，还是先给个5星吧！","2018-01-01 11:53","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:46.6750992"
"晨***爽","PLUS会员","star5","热水器功率很大，差插头是16安的。送了一个遥控器遥控器只有对着热水器的时候才有效。隔远了没用。热水器没有办法通过手机控制。总体来说，出水量大，升温快，能满足日常需求。安装是免费的只收了点儿配件钱。","2017-12-31 16:51","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:46.7051207"
"梦载着希望与未来","京享值20427","star5","一直想买热水器给爸妈洗澡，南方的冬天没有热水器特别不方便，家在乡下，美的售后提供上门安装，安装人员很不错，很负责，就是收钱感觉有点贵一直用的电器也是美的的！大品牌，质量效果都有保证，正好减一百活动，1099到手很划算，比实体店都便宜，用完后感觉质量好，颜值高。烧热水速度也行，家里人说洗澡很好，相信京东，相信美的！","2018-02-02 22:59","0","0","[购买11天后追评]","用完之后感觉特别好，国货当自强！加油","https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:46.7341380"
"A***眸","京享值3427","star5","京东的服务很到位，送货时间很准确，大过年的也不休息，售后也不错，一些注意事项说的很详细，不过送的花洒不怎么好，我自己重新买了一个，师傅安装也很速度！在这里祝大家新年快乐！想买的可以入手了！","2018-02-21 17:47","0","1",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:46.7781997"
"g***g","京享值14796","star5","双12下的单，因为只有周末有空，所以预定的周六收获，送货到家后，安装人员就打电话了，今天早上九点多人就到家了，一会儿就给安装好了，因为自己家里买了角阀跟软管，安装没有收任何费用，安装好以后客服还打电话问安装情况，热水器烧水挺快的，定的50度，估计不到半个小时就烧好了，还送的有遥控器，以后可以试试预约功能，目前还是挺满意的。","2017-12-17 16:54","1","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:46.8072188"
"j***1","京享值11441","star5","美的品质不错，我家大部分家电都是美的，买的就是它的品质和售后服务，","2017-12-13 10:40","2","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:46.9984256"
"阿***哒","京享值2011","star5","刚开始换电器肯定都需要一定的磨合期 看中美的的服务态度以及售后 我家经常停水 热水器还需要磨合一段时间才能用顺手了 总比以前那个强 真的是解放双手 好的电器会像朋友一样守护家 比心","2018-01-30 22:51","0","0","[购买5天后追评]",,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:47.0344500"
